srcname,cpe_vendor,cpe_product,cpe_edition,cpe_lang,cpe_sw_edition,cpe_target_sw,cpe_target_hw,cpe_other
databases/mongodb42,mongodb,mongodb,*,*,*,*,*,*
databases/mongodb44,mongodb,mongodb,*,*,*,*,*,*
databases/mongodb50,mongodb,mongodb,*,*,*,*,*,*
databases/mysql-connector-java,oracle,mysql_connector\/j,*,*,*,*,*,*
databases/mysql-connector-java51,oracle,mysql_connector\/j,*,*,*,*,*,*
databases/mysql55-client,mysql,mysql,*,*,*,*,*,*
databases/mysql55-client,oracle,mysql,*,*,*,*,*,*
databases/mysql55-client,oracle,mysql_server,*,*,*,*,*,*
databases/mysql55-server,mysql,mysql,*,*,*,*,*,*
databases/mysql55-server,oracle,mysql,*,*,*,*,*,*
databases/mysql55-server,oracle,mysql_server,*,*,*,*,*,*
databases/mysql56-client,mysql,mysql,*,*,*,*,*,*
databases/mysql56-client,oracle,mysql,*,*,*,*,*,*
databases/mysql56-client,oracle,mysql_server,*,*,*,*,*,*
databases/mysql56-server,mysql,mysql,*,*,*,*,*,*
databases/mysql56-server,oracle,mysql,*,*,*,*,*,*
databases/mysql56-server,oracle,mysql_server,*,*,*,*,*,*
databases/mysql57-client,mysql,mysql,*,*,*,*,*,*
databases/mysql57-client,oracle,mysql,*,*,*,*,*,*
databases/mysql57-client,oracle,mysql_server,*,*,*,*,*,*
databases/mysql57-server,mysql,mysql,*,*,*,*,*,*
databases/mysql57-server,oracle,mysql,*,*,*,*,*,*
databases/mysql57-server,oracle,mysql_server,*,*,*,*,*,*
databases/mysql80-client,mysql,mysql,*,*,*,*,*,*
databases/mysql80-client,oracle,mysql,*,*,*,*,*,*
databases/mysql80-client,oracle,mysql_server,*,*,*,*,*,*
databases/mysql80-server,mysql,mysql,*,*,*,*,*,*
databases/mysql80-server,oracle,mysql,*,*,*,*,*,*
databases/mysql80-server,oracle,mysql_server,*,*,*,*,*,*
databases/namazu2,namazu,namazu,*,*,*,*,*,*
databases/neo4j,neo4j,neo4j,*,*,*,*,*,*
databases/p5-DBD-mysql,dbd-mysql_project,dbd-mysql,*,*,*,*,*,*
databases/p5-DBI,perl,database_interface,*,*,*,*,*,*
databases/p5-DBI,perl,dbi,*,*,*,*,*,*
databases/pecl-memcached,php,memcached,*,*,*,*,*,*
databases/percona56-client,percona,percona_server,*,*,*,*,*,*
databases/percona56-server,percona,percona_server,*,*,*,*,*,*
databases/percona57-client,percona,percona_server,*,*,*,*,*,*
databases/percona57-server,percona,percona_server,*,*,*,*,*,*
databases/pg_partman,pgxn,pg_partman,*,*,*,postgresql,*,*
databases/pgbouncer,pgbouncer,pgbouncer,*,*,*,*,*,*
databases/pglogical,2ndquadrant,pglogical,*,*,*,*,*,*
databases/php74-dba,php,php,*,*,*,*,*,*
databases/php74-dba,php_group,php,*,*,*,*,*,*
databases/php74-mysqli,php,php,*,*,*,*,*,*
databases/php74-mysqli,php_group,php,*,*,*,*,*,*
databases/php74-odbc,php,php,*,*,*,*,*,*
databases/php74-odbc,php_group,php,*,*,*,*,*,*
